offer_id_local;page_no;offer_id;psu_power;psu_standard;psu_cert;offer_url;price;brand;rating;model;offer_title;bought;votes
61;2;10033918896;500;ATX;Gold;https://allegro.pl/oferta/zasilacz-seasonic-focus-sgx-500-gold-sfx-500w-10033918896;540,00;Seasonic;5.0;FOCUS SGX 500W;;1;
62;2;9629867147;600;ATX;Bronze;https://allegro.pl/oferta/zasilacz-be-quiet-system-power-9-600w-80-bronze-9629867147;329,00;be quiet!;4.9;System Power;;2;
63;2;11021724295;1000;ATX;Bronze;https://allegro.pl/oferta/zasilacz-komputerowy-chieftec-proton-1000w-80-11021724295;618,00;Chieftec;5.0;BDF-1000C);;0;
64;2;10797448060;600;ATX;Bronze;https://allegro.pl/oferta/zasilacz-be-quiet-system-power-9-600w-bronze-10797448060;289,00;be quiet!;4.97;System Power 9 600W Bronze;;4;
65;2;10797529786;1000;ATX;Platinum;https://allegro.pl/oferta/zasilacz-corsair-hx1000-1000w-80-platinum-10797529786;999,00;Corsair;4.82;HX1000 1000W 80+ Platinum;;1;
66;2;10797518344;750;ATX;Gold;https://allegro.pl/oferta/zasilacz-corsair-tx750m-750w-gold-10797518344;449,00;Corsair;5.0;TX750M Gold;;3;
67;2;11707276754;860;ATX;Platinum;https://allegro.pl/oferta/zasilacz-fractal-design-ion-2-platinum-860w-11707276754;786,00;Fractal Design;5.0;Platinum;;1;
68;2;11467439368;550;ATX;Gold;https://allegro.pl/oferta/silentiumpc-supremo-m2-550w-80-gold-psu-modular-11467439368;375,24;SilentiumPC;4.9;Supremo M2 Gold;;0;
69;2;11393879320;550;ATX;Gold;https://allegro.pl/oferta/zasilacz-be-quiet-pure-power-11-fm-550w-modularny-11393879320;379,05;be quiet!;5.0;be quiet! Pure Power 11;;1;
70;2;9371404010;700;ATX;Bronze;https://allegro.pl/oferta/zasilacz-atx-700w-spc-vero-m3-modular-80-bronze-9371404010;309,00;SilentiumPC;4.94;Vero M3 Bronze;;2;
71;2;10684358879;750;ATX;Bronze;https://allegro.pl/oferta/zasilacz-chieftec-750w-80-bronze-modular-bdf-750c-10684358879;395,99;Chieftec;4.92;BDF-750C;;1;
72;2;11256623475;750;ATX;Gold;https://allegro.pl/oferta/zasilacz-silentium-pc-supremo-fm2-750-w-11256623475;516,24;SilentiumPC;4.96;Supremo FM2 Gold 750W;;0;
73;2;10592264028;500;ATX;Platinum;https://allegro.pl/oferta/pasywny-zasilacz-seasonic-prime-px-500-fanless-10592264028;879,00;Seasonic;5.0;PRIME Fanless PX;;0;
74;2;10033925628;600;ATX;Titanium;https://allegro.pl/oferta/pasywny-zasilacz-seasonic-prime-titanium-600w-10033925628;1;Seasonic;;SSR-600TL;;0;
75;2;11540776352;560;ATX;Platinum;https://allegro.pl/oferta/fractal-design-zasilacz-modularny-ion-560w-80plus-11540776352;398,99;Fractal Design;5.0;Ion+ Platinum;;0;
76;2;11509586810;600;ATX;Gold;https://allegro.pl/oferta/zasilacz-be-quiet-pure-power-11-600w-gold-11509586810;349,99;be quiet!;5.0;Pure Power 11 600W Gold;;0;
77;2;10586127465;550;ATX;Bronze;https://allegro.pl/oferta/zasilacz-gigabyte-p550b-550w-bronze-10586127465;219,00;Gigabyte;5.0;P550B 550W;;2;
78;2;11255826343;550;ATX;Gold;https://allegro.pl/oferta/zasilacz-be-quiet-straight-power-11-550w-11255826343;459,00;be quiet!;5.0;Straight Power 11 550W;;1;
79;2;11001837205;650;ATX;Bronze;https://allegro.pl/oferta/zasilacz-cooler-master-mwe-v2-650w-230v-80-bronze-11001837205;329,90;Cooler Master;5.0;MWE 650 Bronze - V2 230V;;0;
80;2;11591493470;1000;ATX;Platinum;https://allegro.pl/oferta/zasilacz-corsair-hx1000-1000w-80-plus-platinum-11591493470;968,99;Corsair;4.82;HX Series;;1;
81;2;9217387964;700;ATX;Bronze;https://allegro.pl/oferta/zasilacz-silentiumpc-vero-m3-bronze-700w-9217387964;309,00;SilentiumPC;4.94;Vero M3 Bronze 700W;;0;
82;2;9760135243;600;ATX;Bronze;https://allegro.pl/oferta/zasilacz-silentiumpc-vero-m3-bronze-600w-9760135243;273,00;SilentiumPC;4.93;Vero M3 Bronze 600W;;0;
83;2;11689840624;650;ATX;Gold;https://allegro.pl/oferta/zasilacz-asus-rog-strix-650w-80plus-gold-modularny-11689840624;519,00;ASUS;;ROG STRIX;;0;
84;2;10042520592;500;ATX;Gold;https://allegro.pl/oferta/zasilacz-be-quiet-pure-power-11-80-gold-atx-10042520592;299,00;be quiet!;5.0;BN293;;2;
85;2;10042136826;650;ATX;Gold;https://allegro.pl/oferta/seasonic-core-gc-650w-gold-zasilacz-komputerowy-10042136826;408,00;Seasonic;5.0;CORE-GC-650;;0;
86;2;8943648142;550;ATX;Gold;https://allegro.pl/oferta/be-quiet-zasilacz-straight-power-11-550w-8943648142;459,00;be quiet!;5.0;BN281;;2;
87;2;11366878282;500;ATX;Bronze;https://allegro.pl/oferta/zasilacz-be-quiet-system-power-9-500w-cm-11366878282;249,00;be quiet!;4.92;BN301;;2;
88;2;11467413491;650;ATX;Gold;https://allegro.pl/oferta/silentiumpc-zasilacz-supremo-l2-650w-80-gold-11467413491;438,82;SilentiumPC;4.96;Supremo L2;;0;
89;2;10727165825;850;ATX;Gold;https://allegro.pl/oferta/zasilacz-corsair-rm850x-850w-cp-9020200-eu-10727165825;651,90;Corsair;5.0;CP-9020200-EU;;3;
90;2;11124028839;700;ATX;Bronze;https://allegro.pl/oferta/zasilacz-silentiumpc-vero-l3-700w-bronze-80-plus-11124028839;299,00;SilentiumPC;4.94;Vero L3 Bronze 700W;;0;
91;2;10616631127;850;ATX;Gold;https://allegro.pl/oferta/corsair-rm850x-850w-80plus-gold-atx-2021-10616631127;668,00;Corsair;4.92;RM850x (2021);;1;
92;2;11779629767;850;ATX;Gold;https://allegro.pl/oferta/zasilacz-corsair-txm-series-850w-11779629767;571,30;Corsair;4.97;TXM Series 850W 80 Plus;;0;
93;2;9504575180;500;ATX;Bronze;https://allegro.pl/oferta/zasilacz-komputerowy-pc-seasonic-s12iii-500w-atx-9504575180;204,00;Seasonic;5.0;S12III 500;;1;
94;2;11027145269;1000;ATX;Gold;https://allegro.pl/oferta/zasilacz-be-quiet-straight-power-11-1000w-11027145269;919,00;be quiet!;5.0;BN285;;1;
95;2;11716419215;1000;ATX;Titanium;https://allegro.pl/oferta/zasilacz-be-quiet-dark-power-12-1000w-modularny-11716419215;1;be quiet!;5.0;BN316;;2;
96;2;11348519338;600;ATX;Bronze;https://allegro.pl/oferta/zasilacz-silentiumpc-vero-l3-80-plus-bronze-600-w-11348519338;249,00;SilentiumPC;4.94;Vero L3 Bronze;;0;
97;2;9518463265;650;ATX;Gold;https://allegro.pl/oferta/zasilacz-silentiumpc-supremo-l2-gold-650w-9518463265;339,00;SilentiumPC;4.96;Supremo L2;;1;
98;2;11476971191;850;ATX;Platinum;https://allegro.pl/oferta/asus-zasilacz-rog-thor-850p-11476971191;1;ASUS;5.0;Thor 850P;;0;
99;2;11749193767;600;ATX;Bronze;https://allegro.pl/oferta/zasilacz-be-quiet-system-power-9-600-w-11749193767;315,10;be quiet!;4.97;System Power 9;;0;
100;2;9938307464;650;ATX;Gold;https://allegro.pl/oferta/zasilacz-cooler-master-mwe-650w-v2-80-gold-9938307464;379,00;Cooler Master;5.0;MPE-6501-AFAAG-EU;;0;
